# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 1] Adaptive4(learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 5] Adaptive4(learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1)
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 10] Adaptive4(learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1)
# [ensemble 15] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 15] Adaptive4(learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='max_depth.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 1],current_acc_[ensemble 1],mean_acc_[incremental 1],current_acc_[incremental 1],mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[incremental 5],current_acc_[incremental 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[incremental 10],current_acc_[incremental 10],mean_acc_[ensemble 15],current_acc_[ensemble 15],mean_acc_[incremental 15],current_acc_[incremental 15],training_time_[ensemble 1],testing_time_[ensemble 1],total_running_time_[ensemble 1],training_time_[incremental 1],testing_time_[incremental 1],total_running_time_[incremental 1],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[incremental 5],testing_time_[incremental 5],total_running_time_[incremental 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[incremental 10],testing_time_[incremental 10],total_running_time_[incremental 10],training_time_[ensemble 15],testing_time_[ensemble 15],total_running_time_[ensemble 15],training_time_[incremental 15],testing_time_[incremental 15],total_running_time_[incremental 15]
100030,0.451613,0.451613,0.483871,0.483871,0.483871,0.483871,0.354839,0.354839,0.548387,0.548387,0.451613,0.451613,0.419355,0.419355,0.516129,0.516129,1.302107,0.044581,1.346688,2.320471,0.003212,2.323683,1.328246,0.041739,1.369985,3.922602,0.003160,3.925761,1.408267,0.040401,1.448668,8.397993,0.003507,8.401500,1.434462,0.039290,1.473752,9.467291,0.003606,9.470897
100031,0.468750,0.468750,0.468750,0.468750,0.500000,0.500000,0.343750,0.343750,0.562500,0.562500,0.437500,0.437500,0.437500,0.437500,0.500000,0.500000,1.302132,0.045984,1.348116,2.320483,0.003332,2.323815,1.328254,0.042920,1.371174,3.922610,0.003273,3.925883,1.408279,0.041674,1.449953,8.398000,0.003639,8.401639,1.434470,0.040485,1.474954,9.467299,0.003721,9.471019
100032,0.484848,0.484848,0.454545,0.454545,0.484848,0.484848,0.333333,0.333333,0.545455,0.545455,0.424242,0.424242,0.424242,0.424242,0.484848,0.484848,1.302149,0.047237,1.349386,2.320494,0.003443,2.323937,1.328263,0.044113,1.372375,3.922620,0.003384,3.926004,1.408287,0.042841,1.451128,8.398008,0.003748,8.401755,1.434477,0.041673,1.476150,9.467306,0.003828,9.471134
100033,0.470588,0.470588,0.470588,0.470588,0.500000,0.500000,0.352941,0.352941,0.529412,0.529412,0.441176,0.441176,0.441176,0.441176,0.500000,0.500000,1.302167,0.048638,1.350805,2.320506,0.003573,2.324079,1.328272,0.045440,1.373713,3.922629,0.003493,3.926121,1.408300,0.044144,1.452444,8.398016,0.003853,8.401869,1.434485,0.042977,1.477462,9.467315,0.003933,9.471248
100034,0.457143,0.457143,0.457143,0.457143,0.485714,0.485714,0.342857,0.342857,0.514286,0.514286,0.428571,0.428571,0.428571,0.428571,0.485714,0.485714,1.302186,0.050009,1.352194,2.320518,0.003688,2.324207,1.328282,0.046759,1.375040,3.922637,0.003602,3.926238,1.408307,0.045511,1.453818,8.398024,0.003963,8.401987,1.434493,0.044358,1.478852,9.467323,0.004052,9.471375
100035,0.444444,0.444444,0.472222,0.472222,0.500000,0.500000,0.361111,0.361111,0.527778,0.527778,0.444444,0.444444,0.416667,0.416667,0.500000,0.500000,1.302204,0.051281,1.353485,2.320529,0.003796,2.324326,1.328290,0.047976,1.376266,3.922644,0.003705,3.926350,1.408315,0.046692,1.455007,8.398032,0.004061,8.402093,1.434501,0.045540,1.480041,9.467331,0.004148,9.471479
100036,0.432432,0.432432,0.486486,0.486486,0.513514,0.513514,0.378378,0.378378,0.513514,0.513514,0.459459,0.459459,0.405405,0.405405,0.513514,0.513514,1.302221,0.052526,1.354748,2.320539,0.003904,2.324444,1.328298,0.049169,1.377467,3.922652,0.003814,3.926466,1.408322,0.047863,1.456185,8.398039,0.004163,8.402202,1.434508,0.046728,1.481236,9.467339,0.004258,9.471598
100037,0.421053,0.421053,0.473684,0.473684,0.500000,0.500000,0.368421,0.368421,0.500000,0.500000,0.447368,0.447368,0.421053,0.421053,0.500000,0.500000,1.302243,0.053938,1.356182,2.320551,0.004024,2.324576,1.328306,0.050348,1.378654,3.922660,0.003923,3.926583,1.408330,0.049033,1.457363,8.398047,0.004268,8.402315,1.434516,0.047898,1.482414,9.467348,0.004362,9.471710
100038,0.410256,0.410256,0.461538,0.461538,0.487179,0.487179,0.358974,0.358974,0.512821,0.512821,0.461538,0.461538,0.410256,0.410256,0.512821,0.512821,1.302262,0.055258,1.357520,2.320562,0.004139,2.324700,1.328315,0.051563,1.379877,3.922668,0.004029,3.926697,1.408338,0.050247,1.458585,8.398055,0.004370,8.402425,1.434523,0.049084,1.483607,9.467356,0.004463,9.471819
100039,0.425000,0.425000,0.450000,0.450000,0.475000,0.475000,0.350000,0.350000,0.525000,0.525000,0.450000,0.450000,0.425000,0.425000,0.500000,0.500000,1.302282,0.056602,1.358885,2.320574,0.004273,2.324847,1.328323,0.052806,1.381129,3.922677,0.004149,3.926826,1.408345,0.051533,1.459879,8.398063,0.004491,8.402554,1.434531,0.050277,1.484808,9.467364,0.004575,9.471939
100040,0.439024,0.439024,0.463415,0.463415,0.487805,0.487805,0.365854,0.365854,0.536585,0.536585,0.463415,0.463415,0.439024,0.439024,0.512195,0.512195,1.302300,0.057878,1.360178,2.320584,0.004392,2.324976,1.328331,0.053996,1.382327,3.922685,0.004267,3.926952,1.408353,0.052715,1.461068,8.398071,0.004601,8.402671,1.434538,0.051482,1.486020,9.467372,0.004690,9.472062
100041,0.428571,0.428571,0.476190,0.476190,0.500000,0.500000,0.380952,0.380952,0.523810,0.523810,0.476190,0.476190,0.428571,0.428571,0.523810,0.523810,1.302318,0.059122,1.361439,2.320595,0.004504,2.325098,1.328340,0.055179,1.383518,3.922693,0.004369,3.927061,1.408360,0.053893,1.462253,8.398078,0.004698,8.402777,1.434546,0.052687,1.487233,9.467380,0.004797,9.472177
100042,0.441860,0.441860,0.488372,0.488372,0.488372,0.488372,0.372093,0.372093,0.534884,0.534884,0.465116,0.465116,0.441860,0.441860,0.511628,0.511628,1.302335,0.060432,1.362767,2.320605,0.004617,2.325222,1.328348,0.056352,1.384701,3.922700,0.004478,3.927178,1.408368,0.055052,1.463420,8.398086,0.004805,8.402891,1.434553,0.053869,1.488423,9.467387,0.004910,9.472297
100043,0.454545,0.454545,0.477273,0.477273,0.500000,0.500000,0.363636,0.363636,0.545455,0.545455,0.454545,0.454545,0.454545,0.454545,0.500000,0.500000,1.302359,0.061877,1.364235,2.320617,0.004736,2.325353,1.328357,0.057646,1.386003,3.922708,0.004610,3.927319,1.408380,0.056262,1.464642,8.398094,0.004923,8.403017,1.434561,0.055067,1.489628,9.467395,0.005023,9.472418
