# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_a.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100034,0.800000,0.800000,0.828571,0.828571,0.857143,0.857143,0.828571,0.828571,0.828571,0.828571,0.800000,0.800000,1.304507,0.023321,1.327828,1.303585,0.030680,1.334266,1.331661,0.058956,1.390617,1.368344,0.120720,1.489064,1.498431,0.236867,1.735298,4.605908,0.005657,4.611566
100035,0.805556,0.805556,0.833333,0.833333,0.861111,0.861111,0.833333,0.833333,0.833333,0.833333,0.805556,0.805556,1.304528,0.023653,1.328181,1.303596,0.032104,1.335700,1.331670,0.061615,1.393285,1.368352,0.123331,1.491683,1.498439,0.241351,1.739790,4.605922,0.005785,4.611708
100036,0.810811,0.810811,0.837838,0.837838,0.837838,0.837838,0.810811,0.810811,0.837838,0.837838,0.810811,0.810811,1.304549,0.023964,1.328513,1.303606,0.033079,1.336685,1.331679,0.065458,1.397137,1.368360,0.125822,1.494182,1.498447,0.246306,1.744753,4.605932,0.005906,4.611838
100037,0.815789,0.815789,0.842105,0.842105,0.842105,0.842105,0.815789,0.815789,0.842105,0.842105,0.815789,0.815789,1.304573,0.024485,1.329058,1.303619,0.033524,1.337143,1.331689,0.066519,1.398207,1.368370,0.128178,1.496547,1.498456,0.253864,1.752319,4.605942,0.006056,4.611998
100038,0.820513,0.820513,0.846154,0.846154,0.846154,0.846154,0.820513,0.820513,0.846154,0.846154,0.820513,0.820513,1.304595,0.024938,1.329533,1.303629,0.034301,1.337930,1.331696,0.067765,1.399461,1.368377,0.130415,1.498791,1.498463,0.260742,1.759205,4.605951,0.006180,4.612131
100039,0.825000,0.825000,0.850000,0.850000,0.850000,0.850000,0.825000,0.825000,0.850000,0.850000,0.825000,0.825000,1.304616,0.025363,1.329979,1.303639,0.034783,1.338422,1.331704,0.068898,1.400602,1.368384,0.132485,1.500869,1.498470,0.270472,1.768942,4.605962,0.006331,4.612293
100040,0.829268,0.829268,0.853659,0.853659,0.853659,0.853659,0.829268,0.829268,0.853659,0.853659,0.829268,0.829268,1.304637,0.025700,1.330337,1.303649,0.035367,1.339016,1.331711,0.069993,1.401705,1.368390,0.137113,1.505503,1.498477,0.274987,1.773464,4.605974,0.006502,4.612476
100041,0.833333,0.833333,0.857143,0.857143,0.857143,0.857143,0.833333,0.833333,0.857143,0.857143,0.833333,0.833333,1.304658,0.026016,1.330674,1.303658,0.035869,1.339527,1.331719,0.071124,1.402843,1.368398,0.142852,1.511250,1.498485,0.279944,1.778429,4.605983,0.006620,4.612604
100042,0.837209,0.837209,0.860465,0.860465,0.860465,0.860465,0.837209,0.837209,0.860465,0.860465,0.837209,0.837209,1.304679,0.026453,1.331131,1.303668,0.036371,1.340039,1.331727,0.074934,1.406660,1.368409,0.146111,1.514520,1.498492,0.284569,1.783061,4.605991,0.006734,4.612726
100043,0.840909,0.840909,0.863636,0.863636,0.863636,0.863636,0.840909,0.840909,0.863636,0.863636,0.840909,0.840909,1.304700,0.027612,1.332312,1.303678,0.037142,1.340820,1.331735,0.076386,1.408121,1.368417,0.148332,1.516749,1.498499,0.288715,1.787214,4.606000,0.006842,4.612842
