# TEST CONFIGURATION BEGIN
# FileStream(filename='hyper_f.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mwindow_hype_f.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100049,0.920000,0.920000,0.880000,0.880000,0.860000,0.860000,0.800000,0.800000,0.880000,0.880000,0.840000,0.840000,1.354952,0.017814,1.372766,1.385871,0.024063,1.409934,1.380847,0.053710,1.434557,1.444161,0.104534,1.548694,1.548411,0.204836,1.753247,4.918490,0.005101,4.923590
100050,0.921569,0.921569,0.882353,0.882353,0.862745,0.862745,0.803922,0.803922,0.882353,0.882353,0.843137,0.843137,1.354971,0.018108,1.373080,1.385881,0.024500,1.410381,1.380854,0.054694,1.435549,1.444168,0.106594,1.550762,1.548418,0.208587,1.757005,4.918499,0.005196,4.923695
100051,0.923077,0.923077,0.884615,0.884615,0.865385,0.865385,0.807692,0.807692,0.884615,0.884615,0.846154,0.846154,1.354993,0.018407,1.373400,1.385891,0.024934,1.410825,1.380864,0.055671,1.436535,1.444175,0.108506,1.552681,1.548426,0.212403,1.760829,4.918507,0.005286,4.923793
100052,0.924528,0.924528,0.886792,0.886792,0.867925,0.867925,0.811321,0.811321,0.886792,0.886792,0.849057,0.849057,1.355010,0.018697,1.373707,1.385906,0.025357,1.411263,1.380873,0.056650,1.437522,1.444183,0.110757,1.554941,1.548434,0.216663,1.765097,4.918516,0.005381,4.923897
100053,0.925926,0.925926,0.888889,0.888889,0.870370,0.870370,0.814815,0.814815,0.888889,0.888889,0.851852,0.851852,1.355030,0.018991,1.374021,1.385916,0.025790,1.411707,1.380880,0.057650,1.438530,1.444190,0.112698,1.556889,1.548441,0.220458,1.768899,4.918524,0.005469,4.923993
100054,0.927273,0.927273,0.890909,0.890909,0.872727,0.872727,0.818182,0.818182,0.890909,0.890909,0.854545,0.854545,1.355047,0.019287,1.374333,1.385925,0.026222,1.412148,1.380887,0.058673,1.439560,1.444197,0.114609,1.558806,1.548448,0.224229,1.772677,4.918531,0.005552,4.924083
100055,0.928571,0.928571,0.892857,0.892857,0.875000,0.875000,0.821429,0.821429,0.892857,0.892857,0.857143,0.857143,1.355069,0.019684,1.374753,1.385935,0.026672,1.412607,1.380895,0.059681,1.440577,1.444205,0.116543,1.560748,1.548456,0.228130,1.776586,4.918541,0.005658,4.924199
100056,0.929825,0.929825,0.894737,0.894737,0.877193,0.877193,0.824561,0.824561,0.894737,0.894737,0.859649,0.859649,1.355088,0.019976,1.375064,1.385950,0.027092,1.413042,1.380905,0.060645,1.441550,1.444214,0.118408,1.562622,1.548464,0.232121,1.780586,4.918550,0.005757,4.924307
100057,0.931034,0.931034,0.896552,0.896552,0.879310,0.879310,0.827586,0.827586,0.896552,0.896552,0.862069,0.862069,1.355107,0.020282,1.375389,1.385961,0.027563,1.413523,1.380914,0.061716,1.442631,1.444222,0.120739,1.564961,1.548473,0.236024,1.784497,4.918559,0.005849,4.924409
100058,0.932203,0.932203,0.898305,0.898305,0.881356,0.881356,0.830508,0.830508,0.898305,0.898305,0.864407,0.864407,1.355124,0.020589,1.375713,1.385970,0.028038,1.414008,1.380922,0.062791,1.443713,1.444229,0.122753,1.566983,1.548480,0.239800,1.788280,4.918567,0.005941,4.924508
