# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [incremental 1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='incremental_airlines.txt', pretrain_size=100000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[incremental 1],current_acc_[incremental 1],training_time_[incremental 1],testing_time_[incremental 1],total_running_time_[incremental 1]
100336,0.596439,0.615000,1.519232,0.535847,2.055079
100337,0.594675,0.610000,1.519257,0.537479,2.056736
100338,0.595870,0.615000,1.519279,0.538977,2.058257
100339,0.597059,0.620000,1.519299,0.540583,2.059882
100340,0.598240,0.620000,1.519319,0.541867,2.061186
100341,0.599415,0.620000,1.519348,0.543993,2.063341
100342,0.600583,0.625000,1.519370,0.545335,2.064705
100343,0.598837,0.620000,1.519389,0.546762,2.066151
100344,0.600000,0.620000,1.519412,0.548424,2.067836
100345,0.598266,0.615000,1.519431,0.549641,2.069073
100346,0.596542,0.610000,1.519450,0.550806,2.070256
100347,0.594828,0.610000,1.519469,0.552104,2.071573
100348,0.595989,0.610000,1.519487,0.553362,2.072849
100349,0.597143,0.610000,1.519519,0.555929,2.075447
100350,0.595442,0.610000,1.519548,0.558174,2.077723
100351,0.596591,0.615000,1.519571,0.559362,2.078932
100352,0.597734,0.615000,1.519592,0.560567,2.080158
100353,0.598870,0.620000,1.519612,0.562018,2.081629
100354,0.600000,0.620000,1.519631,0.563299,2.082931
100355,0.598315,0.620000,1.519652,0.564710,2.084362
100356,0.599440,0.620000,1.519675,0.566321,2.085996
100357,0.597765,0.615000,1.519705,0.568464,2.088169
100358,0.598886,0.615000,1.519728,0.569925,2.089653
100359,0.600000,0.615000,1.519748,0.571235,2.090983
100360,0.601108,0.620000,1.519774,0.572732,2.092506
100361,0.602210,0.625000,1.519796,0.574004,2.093801
100362,0.600551,0.625000,1.519816,0.575260,2.095076
100363,0.598901,0.620000,1.519837,0.576710,2.096547
100364,0.597260,0.615000,1.519855,0.577975,2.097831
100365,0.598361,0.615000,1.519886,0.580067,2.099953
100366,0.596730,0.615000,1.519909,0.581545,2.101455
100367,0.597826,0.620000,1.519933,0.582897,2.102830
100368,0.596206,0.615000,1.519951,0.584104,2.104055
100369,0.597297,0.615000,1.519972,0.585471,2.105442
100370,0.595687,0.610000,1.519992,0.586974,2.106967
100371,0.594086,0.610000,1.520021,0.588691,2.108713
100372,0.592493,0.605000,1.520043,0.590128,2.110171
100373,0.593583,0.605000,1.520062,0.591388,2.111450
100374,0.594667,0.605000,1.520091,0.593958,2.114050
100375,0.593085,0.600000,1.520115,0.595567,2.115682
100376,0.594164,0.600000,1.520136,0.597066,2.117203
100377,0.592593,0.600000,1.520157,0.598248,2.118405
100378,0.591029,0.595000,1.520176,0.599416,2.119592
100379,0.592105,0.595000,1.520194,0.600580,2.120774
100380,0.593176,0.595000,1.520211,0.601760,2.121972
100381,0.591623,0.590000,1.520236,0.603290,2.123526
100382,0.590078,0.585000,1.520333,0.605061,2.125393
100383,0.588542,0.585000,1.520364,0.607278,2.127643
100384,0.589610,0.585000,1.520396,0.609145,2.129541
100385,0.590674,0.590000,1.520417,0.610626,2.131044
100386,0.591731,0.595000,1.520438,0.611892,2.132330
100387,0.592784,0.600000,1.520459,0.613740,2.134199
100388,0.593830,0.600000,1.520480,0.615047,2.135527
100389,0.592308,0.595000,1.520499,0.616343,2.136843
100390,0.593350,0.595000,1.520530,0.618552,2.139082
100391,0.591837,0.590000,1.520558,0.620212,2.140770
100392,0.592875,0.590000,1.520578,0.621498,2.142076
100393,0.591371,0.590000,1.520600,0.623117,2.143717
100394,0.592405,0.595000,1.520621,0.624842,2.145463
100395,0.593434,0.595000,1.520639,0.625995,2.146634
100396,0.594458,0.595000,1.520656,0.627124,2.147781
100397,0.592965,0.595000,1.520674,0.628291,2.148965
100398,0.591479,0.590000,1.520691,0.629421,2.150111
100399,0.592500,0.595000,1.520718,0.631271,2.151989
100400,0.593516,0.600000,1.520737,0.632492,2.153229
100401,0.594527,0.605000,1.520757,0.633812,2.154569
100402,0.595533,0.605000,1.520775,0.635083,2.155859
100403,0.594059,0.600000,1.520797,0.636417,2.157214
100404,0.595062,0.600000,1.520817,0.637776,2.158593
100405,0.593596,0.595000,1.520838,0.639282,2.160120
100406,0.594595,0.595000,1.520860,0.640900,2.161760
100407,0.593137,0.590000,1.520892,0.642428,2.163320
100408,0.591687,0.585000,1.520915,0.643925,2.164840
100409,0.592683,0.590000,1.520934,0.645189,2.166123
100410,0.591241,0.585000,1.520952,0.646437,2.167389
100411,0.589806,0.585000,1.520971,0.647694,2.168665
100412,0.588378,0.580000,1.520989,0.649042,2.170031
100413,0.586957,0.580000,1.521008,0.650263,2.171270
100414,0.585542,0.580000,1.521041,0.652077,2.173117
100415,0.586538,0.585000,1.521066,0.653785,2.174850
100416,0.587530,0.585000,1.521100,0.655505,2.176605
100417,0.588517,0.585000,1.521122,0.656861,2.177983
100418,0.587112,0.585000,1.521142,0.658152,2.179294
100419,0.588095,0.590000,1.521162,0.659480,2.180641
100420,0.586698,0.585000,1.521185,0.660768,2.181952
100421,0.587678,0.590000,1.521204,0.662027,2.183231
100422,0.586288,0.590000,1.521222,0.663168,2.184390
100423,0.587264,0.590000,1.521239,0.664313,2.185553
100424,0.585882,0.585000,1.521257,0.665451,2.186708
100425,0.586854,0.590000,1.521274,0.666585,2.187859
100426,0.587822,0.590000,1.521305,0.668270,2.189576
100427,0.588785,0.595000,1.521330,0.669924,2.191254
100428,0.589744,0.600000,1.521351,0.671348,2.192699
100429,0.588372,0.595000,1.521370,0.672490,2.193859
100430,0.587007,0.595000,1.521390,0.673647,2.195037
100431,0.585648,0.595000,1.521407,0.674796,2.196203
100432,0.584296,0.590000,1.521426,0.675963,2.197389
100433,0.582949,0.585000,1.521449,0.677363,2.198812
100434,0.583908,0.585000,1.521469,0.678644,2.200113
100435,0.584862,0.585000,1.521498,0.681033,2.202531
100436,0.583524,0.585000,1.521522,0.682656,2.204179
100437,0.582192,0.580000,1.521550,0.684057,2.205606
100438,0.583144,0.580000,1.521573,0.685621,2.207194
100439,0.584091,0.585000,1.521594,0.686983,2.208577
100440,0.582766,0.580000,1.521617,0.688430,2.210047
100441,0.581448,0.580000,1.521646,0.690851,2.212497
100442,0.580135,0.575000,1.521669,0.692256,2.213925
100443,0.578829,0.570000,1.521702,0.694164,2.215865
100444,0.579775,0.570000,1.521728,0.695501,2.217229
100445,0.578475,0.570000,1.521759,0.698031,2.219791
100446,0.577181,0.565000,1.521784,0.699507,2.221291
100447,0.578125,0.565000,1.521807,0.701126,2.222933
100448,0.579065,0.565000,1.521826,0.702514,2.224340
100449,0.577778,0.560000,1.521847,0.703861,2.225708
100450,0.578714,0.565000,1.521877,0.705781,2.227658
